2019-01-15 17:52:23.640045: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:52:23.640212: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[ 315] 2.659: took 8.382 ms
[ 316] 2.667: took 8.321 ms
[ 317] 2.676: took 8.379 ms
[ 318] 2.684: took 8.356 ms
[ 319] 2.693: took 8.405 ms
[ 320] 2.701: took 8.385 ms
[ 321] 2.710: took 8.351 ms
[ 322] 2.718: took 8.313 ms
[ 323] 2.726: took 8.345 ms
[ 324] 2.735: took 8.321 ms
[ 325] 2.743: took 8.356 ms
[ 326] 2.752: took 8.387 ms
[ 327] 2.760: took 8.320 ms
[ 328] 2.769: took 8.285 ms
[ 329] 2.777: took 8.380 ms
[ 330] 2.785: took 8.261 ms
[ 331] 2.794: took 8.266 ms
[ 332] 2.802: took 8.405 ms
[ 333] 2.810: took 8.349 ms
[ 334] 2.819: took 8.317 ms
[ 335] 2.827: took 8.371 ms
[ 336] 2.836: took 8.366 ms
[ 337] 2.844: took 8.305 ms
[ 338] 2.853: took 8.317 ms
[ 339] 2.861: took 8.316 ms
[ 340] 2.869: took 8.287 ms
[ 341] 2.878: took 8.476 ms
[ 342] 2.886: took 8.347 ms
[ 343] 2.895: took 8.223 ms
[ 344] 2.903: took 8.251 ms
[ 345] 2.911: took 8.195 ms
[ 346] 2.920: took 8.285 ms
[ 347] 2.928: took 8.388 ms
[ 348] 2.936: took 8.294 ms
[ 349] 2.945: took 8.294 ms
[ 350] 2.953: took 8.528 ms
[ 351] 2.962: took 8.325 ms
[ 352] 2.970: took 8.339 ms
[ 353] 2.978: took 8.261 ms
[ 354] 2.987: took 8.422 ms
[ 355] 2.995: took 8.365 ms
[ 356] 3.004: took 8.298 ms
[ 357] 3.012: took 8.390 ms
[ 358] 3.021: took 8.278 ms
[ 359] 3.029: took 8.451 ms
[ 360] 3.037: took 8.293 ms
[ 361] 3.046: took 8.333 ms
[ 362] 3.054: took 8.396 ms
[ 363] 3.063: took 8.302 ms
[ 364] 3.071: took 8.382 ms
[ 365] 3.079: took 8.346 ms
[ 366] 3.088: took 8.693 ms
[ 367] 3.097: took 8.460 ms
[ 368] 3.105: took 8.407 ms
[ 369] 3.114: took 8.304 ms
[ 370] 3.122: took 8.426 ms
[ 371] 3.130: took 8.356 ms
[ 372] 3.139: took 8.438 ms
[ 373] 3.147: took 8.488 ms
[ 374] 3.156: took 8.007 ms
[ 375] 3.164: took 8.212 ms
[ 376] 3.172: took 8.536 ms
[ 377] 3.181: took 8.219 ms
[ 378] 3.189: took 8.315 ms
[ 379] 3.198: took 8.375 ms
[ 380] 3.206: took 8.271 ms
[ 381] 3.214: took 8.385 ms
[ 382] 3.223: took 8.302 ms
[ 383] 3.231: took 8.456 ms
[ 384] 3.240: took 8.348 ms
[ 385] 3.248: took 8.291 ms
[ 386] 3.256: took 8.363 ms
[ 387] 3.265: took 8.351 ms
[ 388] 3.273: took 8.312 ms
[ 389] 3.282: took 8.301 ms
[ 390] 3.290: took 8.361 ms
[ 391] 3.299: took 8.291 ms
[ 392] 3.307: took 8.278 ms
[ 393] 3.315: took 8.385 ms
[ 394] 3.324: took 8.378 ms
[ 395] 3.332: took 8.405 ms
[ 396] 3.341: took 8.327 ms
[ 397] 3.349: took 8.234 ms
[ 398] 3.357: took 8.382 ms
[ 399] 3.366: took 8.299 ms
[ 400] 3.374: took 8.334 ms
[ 401] 3.383: took 8.246 ms
[ 402] 3.391: took 8.308 ms
[ 403] 3.399: took 8.365 ms
[ 404] 3.408: took 8.438 ms
[ 405] 3.416: took 8.325 ms
[ 406] 3.425: took 8.272 ms
[ 407] 3.433: took 8.401 ms
[ 408] 3.441: took 8.283 ms
[ 409] 3.450: took 8.370 ms
[ 410] 3.458: took 8.338 ms
[ 411] 3.467: took 8.430 ms
[ 412] 3.475: took 8.353 ms
