2019-01-15 17:53:43.264337: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:53:43.264446: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[ 341] 5.507: took 15.974 ms
[ 342] 5.523: took 15.944 ms
[ 343] 5.539: took 16.245 ms
[ 344] 5.555: took 16.002 ms
[ 345] 5.572: took 16.168 ms
[ 346] 5.588: took 15.899 ms
[ 347] 5.604: took 15.992 ms
[ 348] 5.620: took 16.003 ms
[ 349] 5.636: took 15.935 ms
[ 350] 5.652: took 15.887 ms
[ 351] 5.668: took 16.019 ms
[ 352] 5.684: took 16.003 ms
[ 353] 5.700: took 16.036 ms
[ 354] 5.716: took 16.020 ms
[ 355] 5.732: took 16.045 ms
[ 356] 5.748: took 16.239 ms
[ 357] 5.764: took 15.998 ms
[ 358] 5.781: took 15.885 ms
[ 359] 5.796: took 16.130 ms
[ 360] 5.813: took 15.968 ms
[ 361] 5.829: took 15.955 ms
[ 362] 5.845: took 15.928 ms
[ 363] 5.861: took 16.323 ms
[ 364] 5.877: took 16.052 ms
[ 365] 5.893: took 16.176 ms
[ 366] 5.909: took 15.920 ms
[ 367] 5.925: took 15.958 ms
[ 368] 5.941: took 15.923 ms
[ 369] 5.957: took 15.971 ms
[ 370] 5.973: took 15.942 ms
[ 371] 5.989: took 15.937 ms
[ 372] 6.005: took 15.919 ms
[ 373] 6.021: took 16.060 ms
[ 374] 6.038: took 15.952 ms
[ 375] 6.054: took 15.976 ms
[ 376] 6.070: took 15.923 ms
[ 377] 6.086: took 15.959 ms
[ 378] 6.102: took 15.958 ms
[ 379] 6.118: took 16.005 ms
[ 380] 6.134: took 15.996 ms
[ 381] 6.150: took 16.035 ms
[ 382] 6.166: took 16.031 ms
[ 383] 6.182: took 16.103 ms
[ 384] 6.198: took 16.042 ms
[ 385] 6.214: took 16.047 ms
[ 386] 6.230: took 15.992 ms
[ 387] 6.246: took 16.013 ms
[ 388] 6.262: took 15.964 ms
[ 389] 6.278: took 16.075 ms
[ 390] 6.295: took 15.977 ms
[ 391] 6.311: took 15.945 ms
[ 392] 6.327: took 15.897 ms
[ 393] 6.343: took 15.949 ms
[ 394] 6.359: took 15.929 ms
[ 395] 6.375: took 16.065 ms
[ 396] 6.391: took 15.892 ms
[ 397] 6.407: took 15.985 ms
[ 398] 6.423: took 15.986 ms
[ 399] 6.439: took 15.925 ms
[ 400] 6.455: took 15.892 ms
[ 401] 6.471: took 15.929 ms
[ 402] 6.487: took 15.923 ms
[ 403] 6.503: took 15.962 ms
[ 404] 6.519: took 16.055 ms
[ 405] 6.535: took 16.046 ms
[ 406] 6.551: took 15.948 ms
[ 407] 6.567: took 15.978 ms
[ 408] 6.583: took 16.058 ms
[ 409] 6.599: took 16.065 ms
[ 410] 6.615: took 16.028 ms
[ 411] 6.631: took 15.972 ms
[ 412] 6.647: took 16.197 ms
[ 413] 6.664: took 16.112 ms
[ 414] 6.680: took 16.216 ms
[ 415] 6.696: took 15.954 ms
[ 416] 6.712: took 15.985 ms
[ 417] 6.728: took 16.154 ms
[ 418] 6.744: took 15.985 ms
[ 419] 6.760: took 16.003 ms
[ 420] 6.776: took 16.163 ms
[ 421] 6.793: took 16.075 ms
[ 422] 6.809: took 15.979 ms
[ 423] 6.825: took 15.956 ms
[ 424] 6.841: took 15.938 ms
[ 425] 6.857: took 16.069 ms
[ 426] 6.873: took 15.962 ms
[ 427] 6.889: took 15.872 ms
[ 428] 6.905: took 16.206 ms
[ 429] 6.921: took 15.977 ms
[ 430] 6.937: took 15.904 ms
[ 431] 6.953: took 15.907 ms
[ 432] 6.969: took 15.900 ms
[ 433] 6.985: took 15.981 ms
[ 434] 7.001: took 15.919 ms
[ 435] 7.017: took 15.974 ms
[ 436] 7.033: took 15.933 ms
[ 437] 7.049: took 16.048 ms
[ 438] 7.065: took 16.017 ms
[ 439] 7.081: took 16.050 ms
[ 440] 7.097: took 15.917 ms
[ 441] 7.113: took 16.037 ms
[ 442] 7.129: took 15.933 ms
[ 443] 7.145: took 16.002 ms
[ 444] 7.161: took 15.905 ms
[ 445] 7.177: took 16.031 ms
[ 446] 7.194: took 15.967 ms
[ 447] 7.210: took 15.997 ms
[ 448] 7.226: took 16.159 ms
[ 449] 7.242: took 16.094 ms
[ 450] 7.258: took 16.172 ms
[ 451] 7.274: took 16.103 ms
[ 452] 7.290: took 15.945 ms
[ 453] 7.306: took 16.442 ms
[ 454] 7.323: took 16.091 ms
[ 455] 7.339: took 16.027 ms
[ 456] 7.355: took 15.913 ms
[ 457] 7.371: took 15.902 ms
[ 458] 7.387: took 15.951 ms
[ 459] 7.403: took 16.025 ms
[ 460] 7.419: took 16.420 ms
[ 461] 7.436: took 15.968 ms
[ 462] 7.452: took 15.935 ms
[ 463] 7.468: took 16.067 ms
[ 464] 7.484: took 16.051 ms
[ 465] 7.500: took 16.040 ms
[ 466] 7.516: took 16.426 ms
[ 467] 7.532: took 16.121 ms
[ 468] 7.549: took 15.977 ms
[ 469] 7.565: took 15.966 ms
[ 470] 7.581: took 16.036 ms
[ 471] 7.597: took 15.966 ms
[ 472] 7.613: took 15.926 ms
[ 473] 7.629: took 15.927 ms
[ 474] 7.645: took 15.918 ms
[ 475] 7.661: took 15.932 ms
[ 476] 7.677: took 15.972 ms
[ 477] 7.693: took 15.934 ms
[ 478] 7.709: took 16.134 ms
[ 479] 7.725: took 16.036 ms
[ 480] 7.741: took 16.130 ms
[ 481] 7.757: took 16.225 ms
[ 482] 7.774: took 16.014 ms
[ 483] 7.790: took 15.892 ms
[ 484] 7.806: took 15.907 ms
[ 485] 7.822: took 16.011 ms
[ 486] 7.838: took 15.938 ms
[ 487] 7.854: took 15.983 ms
[ 488] 7.870: took 15.906 ms
[ 489] 7.886: took 16.012 ms
[ 490] 7.902: took 15.916 ms
[ 491] 7.918: took 16.043 ms
[ 492] 7.934: took 15.972 ms
[ 493] 7.950: took 15.940 ms
[ 494] 7.966: took 16.193 ms
[ 495] 7.982: took 16.143 ms
[ 496] 7.998: took 16.030 ms
[ 497] 8.014: took 16.002 ms
[ 498] 8.030: took 15.996 ms
[ 499] 8.046: took 15.972 ms
[ 500] 8.062: took 15.945 ms
[ 501] 8.078: took 16.203 ms
[ 502] 8.095: took 16.070 ms
[ 503] 8.111: took 15.919 ms
[ 504] 8.127: took 15.892 ms
[ 505] 8.143: took 15.930 ms
[ 506] 8.159: took 15.904 ms
[ 507] 8.175: took 16.122 ms
[ 508] 8.191: took 15.953 ms
[ 509] 8.207: took 15.891 ms
[ 510] 8.223: took 15.983 ms
[ 511] 8.239: took 15.975 ms
[ 512] 8.255: took 15.916 ms
[ 513] 8.271: took 15.973 ms
[ 514] 8.287: took 15.987 ms
[ 515] 8.303: took 15.975 ms
[ 516] 8.319: took 15.880 ms
[ 517] 8.335: took 15.973 ms
[ 518] 8.351: took 15.998 ms
[ 519] 8.367: took 16.058 ms
[ 520] 8.383: took 15.980 ms
[ 521] 8.399: took 16.030 ms
[ 522] 8.415: took 16.003 ms
[ 523] 8.431: took 16.035 ms
[ 524] 8.447: took 15.958 ms
[ 525] 8.463: took 15.986 ms
[ 526] 8.479: took 15.986 ms
[ 527] 8.496: took 15.966 ms
[ 528] 8.512: took 15.926 ms
[ 529] 8.528: took 15.966 ms
[ 530] 8.544: took 15.922 ms
[ 531] 8.560: took 15.996 ms
[ 532] 8.576: took 15.995 ms
[ 533] 8.592: took 15.883 ms
[ 534] 8.608: took 15.965 ms
[ 535] 8.624: took 16.048 ms
[ 536] 8.640: took 15.934 ms
[ 537] 8.656: took 15.919 ms
[ 538] 8.672: took 15.939 ms
